artifact_role,system,profile,target,path,exists,row_count_if_applicable,class0_if_applicable,class1_if_applicable,stale_warning,notes
sde_aggregate,Flink Strategy Engine,c6_cfg120_fixed,both,/home/pitesse/Desktop/Thesis/data_lake/reports/final_sde_c6_cfg120_fixed_raw_clean_aggregate_2022_2025.csv,True,3,,,,
batch_recommended,Batch,both,both,/home/pitesse/Desktop/Thesis/data_lake/reports/ml_phase2b_dual_contract_2022_2025/recommended/phase2b_recommended_operating_points.csv,True,4,,,,
moa_recommended,MOA,both,both,/home/pitesse/Desktop/Thesis/data_lake/reports/sml_phase2b_dual_contract_2022_2025/recommended/phase2b_recommended_operating_points.csv,True,4,,,,
batch_frontier,Batch,both,both,/home/pitesse/Desktop/Thesis/data_lake/reports/ml_phase2b_dual_contract_2022_2025/frontier/phase2b_threshold_frontier_compact.csv,True,360,,,,
moa_frontier,MOA,both,both,/home/pitesse/Desktop/Thesis/data_lake/reports/sml_phase2b_dual_contract_2022_2025/frontier/phase2b_threshold_frontier_compact.csv,True,360,,,,
runtime,shared,all,all,/home/pitesse/Desktop/Thesis/data_lake/reports/phase2b_timing/training_runtime_2022_2025.csv,True,35,,,,
truth_universe_race_driver,shared,canonical_sde_truth,all,/home/pitesse/Desktop/Thesis/data_lake/reports/ml_phase2b_dual_contract_2022_2025/audits/sde_universe_2022_2025.csv,True,1691,,,,
truth_events,shared,canonical_sde_truth,all,/home/pitesse/Desktop/Thesis/data_lake/reports/pit_truth_eligibility_audit_2022_c6_cfg120_fixed.csv,True,836,,,,
truth_events,shared,canonical_sde_truth,all,/home/pitesse/Desktop/Thesis/data_lake/reports/pit_truth_eligibility_audit_2023_c6_cfg120_fixed.csv,True,943,,,,
truth_events,shared,canonical_sde_truth,all,/home/pitesse/Desktop/Thesis/data_lake/reports/pit_truth_eligibility_audit_2024_c6_cfg120_fixed.csv,True,849,,,,
truth_events,shared,canonical_sde_truth,all,/home/pitesse/Desktop/Thesis/data_lake/reports/pit_truth_eligibility_audit_2025_c6_cfg120_fixed.csv,True,841,,,,
figure_manifest,shared,presentation,all,/home/pitesse/Desktop/Thesis/data_lake/reports/phase2b_presentation_figures/phase2b_figures_manifest.csv,True,49,,,,
pit_evals_merged,shared,merged,pit_success_h2,/home/pitesse/Desktop/Thesis/data_lake/pit_evals_9999_merged_20260508_145741.jsonl,True,3198,,,,
prepared_dataset_noyear,shared,no_year,both,/home/pitesse/Desktop/Thesis/data_lake/ml_training_dataset_2022_2025_dual_contract.parquet,True,93623,91511.0,2112.0,,
batch_oof,Batch No-Year,e0_no_source_year,target_pit_any_h2_clean_actionable,/home/pitesse/Desktop/Thesis/data_lake/reports/ml_phase2b_dual_contract_2022_2025/oof/e0_no_source_year__target_pit_any_h2_clean_actionable.csv,True,92616,86873.0,5743.0,,
batch_oof,Batch Percent,p1_percent_conservative_v1,target_pit_any_h2_clean_actionable,/home/pitesse/Desktop/Thesis/data_lake/reports/ml_phase2b_dual_contract_2022_2025/oof/p1_percent_conservative_v1__target_pit_any_h2_clean_actionable.csv,True,92616,86873.0,5743.0,,
