target,metric,system,races_total_target,races_kept_target,races_kept_system,positives_min_filter,mean_metric_system,median_metric_system,min_metric_system,max_metric_system
pit_any_h2,kappa,Flink Strategy Engine,92,92,92,3,0.06076487669935776,0.04220037596803322,-0.03645102751483642,0.30110439674932277
pit_any_h2,gmean,Flink Strategy Engine,92,92,92,3,0.1883914228620986,0.1894180134768752,0.0,0.470600761432648
pit_any_h2,kappa,Batch No-Year,92,92,91,3,0.09402714120543788,0.07833661140769888,-0.06584362139917688,0.31813565887415074
pit_any_h2,gmean,Batch No-Year,92,92,91,3,0.2812851850856052,0.27088594524340837,0.0,0.7851627997425669
pit_any_h2,kappa,Batch Percent,92,92,91,3,0.1976376282464435,0.1987231572838073,-0.07328244274809159,0.5053934962174456
pit_any_h2,gmean,Batch Percent,92,92,91,3,0.4927862339380565,0.5509470692433989,0.0,0.8861636292806079
pit_any_h2,kappa,MOA No-Year,92,92,92,3,0.1231592462291947,0.12438441697043995,-0.02415702063412173,0.4486367286586532
pit_any_h2,gmean,MOA No-Year,92,92,92,3,0.3170650906242115,0.33587795268203713,0.0,0.6090186157089451
pit_any_h2,kappa,MOA Percent,92,92,92,3,0.14360689071759547,0.13212510669289118,-0.010309278350515427,0.5532855214756398
pit_any_h2,gmean,MOA Percent,92,92,92,3,0.3376866945686836,0.3344835425109859,0.0,0.6975869748427307
pit_success_h2,kappa,Flink Strategy Engine,92,87,87,3,0.04198494485648735,0.0,-0.02447552447552459,0.21962257706429855
pit_success_h2,gmean,Flink Strategy Engine,92,87,87,3,0.14266134127727256,0.16608334774713504,0.0,0.4934207659671223
pit_success_h2,kappa,Batch No-Year,92,87,86,3,0.00823750068982842,0.0,-0.002015875015749069,0.1965780741011356
pit_success_h2,gmean,Batch No-Year,92,87,86,3,0.02070329253585169,0.0,0.0,0.3591032969252246
pit_success_h2,kappa,Batch Percent,92,87,86,3,0.0061411592856193955,0.0,-0.009164969450101923,0.3320552147239264
pit_success_h2,gmean,Batch Percent,92,87,86,3,0.014598351900421844,0.0,0.0,0.6170703110786581
pit_success_h2,kappa,MOA No-Year,92,87,87,3,0.009772768567350053,0.0,-0.009260688377836113,0.15995165189363425
pit_success_h2,gmean,MOA No-Year,92,87,87,3,0.026501122220315084,0.0,0.0,0.3158390408963081
pit_success_h2,kappa,MOA Percent,92,87,87,3,0.020222522699477725,0.0,-0.005495878091431372,0.19139613622784302
pit_success_h2,gmean,MOA Percent,92,87,87,3,0.05143076674403037,0.0,0.0,0.3333333333333333
