race,positives,negatives,tp,fp,fn,tn,kappa,gmean,year,race_name,race_index,system,target
2022 :: Abu Dhabi Grand Prix,68,1018,6,7,62,1011,0.13067588575140954,0.29602122918240387,2022,Abu Dhabi Grand Prix,1,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Australian Grand Prix,42,814,0,18,42,796,-0.03033220991815111,0.0,2022,Australian Grand Prix,2,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Austrian Grand Prix,85,1182,3,6,82,1176,0.05164670658682624,0.18738986015646508,2022,Austrian Grand Prix,3,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Azerbaijan Grand Prix,55,732,2,4,53,728,0.05254820791180015,0.1901707863164231,2022,Azerbaijan Grand Prix,4,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Bahrain Grand Prix,112,895,4,3,108,892,0.05485984864499227,0.1886652406373273,2022,Bahrain Grand Prix,5,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Belgian Grand Prix,72,647,7,3,65,644,0.14997044403491067,0.3110810564222412,2022,Belgian Grand Prix,6,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: British Grand Prix,20,267,0,0,20,267,0.0,0.0,2022,British Grand Prix,7,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Canadian Grand Prix,61,1025,1,7,60,1018,0.01617134049054869,0.12759893183345222,2022,Canadian Grand Prix,8,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Dutch Grand Prix,109,1094,2,4,107,1090,0.025569736640469354,0.13520922915612868,2022,Dutch Grand Prix,9,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Emilia Romagna Grand Prix,48,1007,5,19,43,988,0.11195286195286203,0.31968931458782796,2022,Emilia Romagna Grand Prix,10,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: French Grand Prix,53,824,2,12,51,812,0.03533828022697505,0.19283749079665582,2022,French Grand Prix,11,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Hungarian Grand Prix,81,1207,7,14,74,1193,0.11432009626955475,0.29226250164736967,2022,Hungarian Grand Prix,12,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Italian Grand Prix,60,775,0,4,60,771,-0.009063444108761143,0.0,2022,Italian Grand Prix,13,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Japanese Grand Prix,8,177,0,0,8,177,0.0,0.0,2022,Japanese Grand Prix,14,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Mexico City Grand Prix,48,1283,1,6,47,1277,0.027435787848289706,0.1439996716315069,2022,Mexico City Grand Prix,15,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Miami Grand Prix,47,878,1,3,46,875,0.0314963994957157,0.14561557839181355,2022,Miami Grand Prix,16,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Monaco Grand Prix,63,980,2,41,61,939,-0.011850865512649689,0.17440722874436598,2022,Monaco Grand Prix,17,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Saudi Arabian Grand Prix,31,486,0,0,31,486,0.0,0.0,2022,Saudi Arabian Grand Prix,18,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Singapore Grand Prix,38,600,0,5,38,595,-0.014045982109854416,0.0,2022,Singapore Grand Prix,19,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: Spanish Grand Prix,106,1106,3,20,103,1086,0.015818104996302984,0.16670362504913985,2022,Spanish Grand Prix,20,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: São Paulo Grand Prix,80,950,7,3,73,947,0.14072447859495052,0.29533656091064364,2022,São Paulo Grand Prix,21,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2022 :: United States Grand Prix,68,772,2,5,66,767,0.038808664259927905,0.17094231191202694,2022,United States Grand Prix,22,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Abu Dhabi Grand Prix,71,993,0,3,71,990,-0.005439918273528299,0.0,2023,Abu Dhabi Grand Prix,23,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Australian Grand Prix,25,765,1,30,24,735,0.0007027406886859211,0.1960392117639214,2023,Australian Grand Prix,24,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Austrian Grand Prix,81,1229,9,7,72,1222,0.16860810745673938,0.3323826965093008,2023,Austrian Grand Prix,25,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Azerbaijan Grand Prix,45,837,0,7,45,830,-0.013927576601671099,0.0,2023,Azerbaijan Grand Prix,26,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Bahrain Grand Prix,101,903,0,2,101,901,-0.003922025473749535,0.0,2023,Bahrain Grand Prix,27,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Belgian Grand Prix,76,721,6,2,70,719,0.12700054767845204,0.28058577001318685,2023,Belgian Grand Prix,28,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: British Grand Prix,38,710,1,0,37,710,0.048803959307121114,0.16222142113076254,2023,British Grand Prix,29,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Canadian Grand Prix,65,1122,2,9,63,1113,0.037372440359532466,0.17470666489207812,2023,Canadian Grand Prix,30,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Dutch Grand Prix,125,1048,7,6,118,1042,0.08303913657454098,0.23596480524217398,2023,Dutch Grand Prix,31,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Hungarian Grand Prix,74,1157,1,4,73,1153,0.01784289548125051,0.11604651811093157,2023,Hungarian Grand Prix,32,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Italian Grand Prix,42,739,2,3,40,736,0.07451704467164544,0.21777450767787862,2023,Italian Grand Prix,33,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Japanese Grand Prix,67,694,4,4,63,690,0.08956663035908796,0.2436337245041678,2023,Japanese Grand Prix,34,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Las Vegas Grand Prix,52,738,4,2,48,736,0.12602885211080617,0.27697403000999776,2023,Las Vegas Grand Prix,35,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Mexico City Grand Prix,51,1133,2,12,49,1121,0.04379600699041464,0.19697801704786946,2023,Mexico City Grand Prix,36,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Miami Grand Prix,38,1080,0,1,38,1079,-0.0017460828010844587,0.0,2023,Miami Grand Prix,37,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Monaco Grand Prix,69,1426,13,48,56,1378,0.16378030677882238,0.42668952059857,2023,Monaco Grand Prix,38,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Qatar Grand Prix,100,844,10,0,90,844,0.16575019638648847,0.31622776601683794,2023,Qatar Grand Prix,39,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Saudi Arabian Grand Prix,42,828,0,1,42,827,-0.0022504420511171297,0.0,2023,Saudi Arabian Grand Prix,40,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Singapore Grand Prix,47,944,1,9,46,935,0.01875888886888577,0.1451679952488587,2023,Singapore Grand Prix,41,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: Spanish Grand Prix,84,1211,2,7,82,1204,0.03084348696215189,0.15385674019771264,2023,Spanish Grand Prix,42,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: São Paulo Grand Prix,70,998,6,3,64,995,0.1390412936760036,0.29232965559586305,2023,São Paulo Grand Prix,43,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2023 :: United States Grand Prix,74,910,2,2,72,908,0.04390756302521015,0.16421822970555666,2023,United States Grand Prix,44,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Abu Dhabi Grand Prix,54,912,0,11,54,901,-0.01928508814648877,0.0,2024,Abu Dhabi Grand Prix,45,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Australian Grand Prix,68,806,4,1,64,805,0.09999683153258776,0.24238512199668552,2024,Australian Grand Prix,46,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Austrian Grand Prix,88,1273,5,6,83,1267,0.08790464070841786,0.23780324232648076,2024,Austrian Grand Prix,47,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Azerbaijan Grand Prix,46,879,2,3,44,876,0.06935673766456174,0.20815828328636626,2024,Azerbaijan Grand Prix,48,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Bahrain Grand Prix,84,1024,5,0,79,1024,0.10473346152272622,0.2439750182371333,2024,Bahrain Grand Prix,49,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: Belgian Grand Prix,46,556,0,2,46,554,-0.006408470325996118,0.0,2024,Belgian Grand Prix,50,Flink Strategy Engine,target_pit_any_h2_clean_actionable
2024 :: British Grand Prix,92,850,12,12,80,838,0.17349507896543837,0.35859915000405634,2024,British Grand Prix,51,Flink Strategy Engine,target_pit_any_h2_clean_actionable
