threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,37100,4396,32704,3712,684,0.8444040036396724,0.11849056603773585,0.10005390835579515,1,0.12948524440776688,6.493353028064993,31854,0.9740092954990215,3111,4759,10526,6165,242,471,132
0.075,26832,4034,22798,3471,563,0.8604362915220625,0.1503428741800835,0.12936046511627908,1,0.14551753229015696,5.958641063515509,22154,0.9717519080621108,2433,3610,6998,4986,194,360,88
0.1,22324,3778,18546,3282,496,0.868713605082054,0.16923490413904319,0.14701666368034402,1,0.15379484585014846,5.580502215657312,18010,0.9710988892483554,2087,3031,5509,4367,170,298,67
0.125,16015,3402,12613,2996,406,0.8806584362139918,0.2124258507649079,0.18707461754605056,1,0.16573967698208625,5.025110782865584,12214,0.9683659716165861,1593,2177,3453,3537,137,212,50
0.15,13402,3134,10268,2779,355,0.8867262284620293,0.23384569467243696,0.2073571108789733,1,0.1718074692301238,4.6292466765140325,9940,0.9680560966108298,1350,1776,2624,3090,122,173,33
0.175,11712,2954,8758,2633,321,0.8913337846987136,0.25221994535519127,0.22481215846994534,1,0.1764150254668081,4.363367799113737,8471,0.9672299611783512,1199,1535,2153,2765,110,146,31
0.2,9728,2726,7002,2443,283,0.8961848862802642,0.28022203947368424,0.25113075657894735,1,0.18126612704835865,4.026587887740029,6759,0.9652956298200515,993,1237,1651,2377,90,122,31
0.22499999999999998,8545,2549,5996,2297,252,0.901137701059239,0.2983031012287888,0.26881217086015213,1,0.18621894182733345,3.765140324963072,5793,0.9661440960640427,858,1043,1349,2130,79,99,25
0.25,7536,2420,5116,2191,229,0.9053719008264463,0.3211252653927813,0.29073779193205945,1,0.19045314159454074,3.5745937961595273,4934,0.9644253322908523,770,885,1082,1917,72,85,25
0.27499999999999997,6498,2222,4276,2027,195,0.9122412241224123,0.3419513696522007,0.31194213604185905,1,0.19732246489050675,3.2821270310192023,4118,0.9630495790458372,658,726,843,1692,64,72,22
0.3,5987,2112,3875,1933,179,0.9152462121212122,0.35276432269918157,0.32286621012193084,1,0.20032745288930665,3.119645494830133,3730,0.9625806451612903,605,662,724,1584,59,66,20
0.32499999999999996,5414,1996,3418,1836,160,0.9198396793587175,0.36867380864425564,0.33912079793128924,1,0.20492092012681196,2.948301329394387,3290,0.96255119953189,544,583,591,1444,53,59,16
0.35,4817,1859,2958,1719,140,0.9246906939214632,0.38592484949138467,0.3568611168777247,1,0.20977193468955768,2.7459379615952733,2847,0.962474645030426,478,484,500,1279,45,50,16
0.37499999999999994,4398,1789,2609,1659,130,0.927333705980995,0.4067758071850841,0.3772169167803547,1,0.21241494674908945,2.642540620384047,2507,0.9609045611345343,440,427,413,1167,41,45,16
0.39999999999999997,3825,1631,2194,1524,107,0.9343960760269773,0.42640522875816994,0.3984313725490196,1,0.21947731679507176,2.4091580502215657,2099,0.9567000911577028,374,343,323,1020,38,42,15
0.42499999999999993,3041,1411,1630,1322,89,0.9369241672572644,0.4639921078592568,0.434725419269977,1,0.22200540802535884,2.0841949778434268,1559,0.9564417177914111,274,256,190,825,24,37,10
0.44999999999999996,2877,1359,1518,1275,84,0.9381898454746137,0.47236704900938475,0.443169968717414,1,0.2232710862427082,2.0073855243722303,1449,0.9545454545454546,257,233,167,781,24,36,9
0.475,2776,1324,1452,1243,81,0.9388217522658611,0.4769452449567723,0.4477665706051873,1,0.22390299303395556,1.9556868537666174,1385,0.9538567493112947,249,224,156,745,24,34,9
0.49999999999999994,2634,1270,1364,1194,76,0.9401574803149606,0.48215641609719057,0.4533029612756264,1,0.2252387210830551,1.8759231905465288,1299,0.9523460410557185,235,212,136,707,23,33,9
0.525,2436,1191,1245,1119,72,0.9395465994962217,0.48891625615763545,0.45935960591133007,1,0.22462784026431615,1.759231905465288,1181,0.9485943775100402,214,193,109,658,22,33,9
0.5499999999999999,2422,1188,1234,1118,70,0.9410774410774411,0.49050371593724196,0.46160198183319573,1,0.22615868184553556,1.7548005908419497,1170,0.9481361426256077,213,191,106,653,22,33,9
0.575,2108,1064,1044,1005,59,0.9445488721804511,0.5047438330170778,0.4767552182163188,1,0.22963011294854563,1.5716395864106352,990,0.9482758620689655,182,160,85,558,17,29,8
0.6,1718,926,792,876,50,0.9460043196544277,0.5389988358556461,0.509895227008149,1,0.23108556042252215,1.3677991137370753,748,0.9444444444444444,133,114,59,440,13,23,8
0.625,1582,868,714,824,44,0.9493087557603687,0.5486725663716814,0.5208596713021492,1,0.23438999652846315,1.2821270310192023,671,0.9397759103641457,117,103,50,399,13,22,8
0.65,1362,761,601,727,34,0.9553219448094612,0.5587371512481645,0.5337738619676946,1,0.2404031855775557,1.1240768094534712,568,0.9450915141430949,96,85,36,350,11,18,4
0.675,1296,726,570,694,32,0.9559228650137741,0.5601851851851852,0.5354938271604939,1,0.2410041057818686,1.0723781388478582,539,0.9456140350877194,92,78,34,334,11,16,4
0.7,1261,710,551,679,31,0.956338028169014,0.56304520222046,0.5384615384615384,1,0.24141926893710852,1.048744460856721,522,0.9473684210526315,90,76,32,324,10,15,4
0.725,1072,625,447,599,26,0.9584,0.5830223880597015,0.558768656716418,1,0.24348124076809452,0.9231905465288035,425,0.9507829977628636,73,53,24,275,6,14,2
0.75,847,522,325,501,21,0.9597701149425287,0.6162927981109799,0.5914994096812278,1,0.24485135571062322,0.7710487444608567,307,0.9446153846153846,52,34,10,211,5,11,2
0.775,697,438,259,420,18,0.958904109589041,0.6284074605451937,0.6025824964131994,1,0.24398535035713553,0.6469719350073855,244,0.9420849420849421,42,21,7,174,4,9,2
0.7999999999999999,547,351,196,336,15,0.9572649572649573,0.6416819012797075,0.6142595978062158,1,0.2423461980330518,0.518463810930576,186,0.9489795918367347,29,15,5,137,2,7,1
0.825,405,257,148,248,9,0.9649805447470817,0.6345679012345679,0.6123456790123457,1,0.2500617855151762,0.37961595273264404,140,0.9459459459459459,24,9,4,103,2,5,1
0.85,395,249,146,240,9,0.963855421686747,0.6303797468354431,0.6075949367088608,1,0.24893666245484147,0.36779911373707536,138,0.9452054794520548,24,9,4,101,2,5,1
0.875,393,249,144,240,9,0.963855421686747,0.6335877862595419,0.6106870229007634,1,0.24893666245484147,0.36779911373707536,136,0.9444444444444444,24,9,4,99,2,5,1
0.9,370,232,138,223,9,0.9612068965517241,0.6270270270270271,0.6027027027027027,1,0.24628813731981858,0.34268833087149186,130,0.9420289855072463,22,9,4,95,2,5,1
0.9249999999999999,361,227,134,218,9,0.960352422907489,0.628808864265928,0.6038781163434903,1,0.2454336636755835,0.3353028064992615,127,0.9477611940298507,22,9,4,92,2,5,0
0.95,274,180,94,175,5,0.9722222222222222,0.656934306569343,0.6386861313868614,1,0.2573034629903167,0.2658788774002954,88,0.9361702127659575,15,6,1,66,1,5,0
