threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,36873,3913,32960,3264,649,0.8341426015844621,0.1061210099530822,0.08852005532503458,1,0.11922384235255656,5.779911373707534,32118,0.9744538834951456,2851,4493,10310,5262,233,439,162
0.075,22415,3292,19123,2814,478,0.8547995139732685,0.1468659379879545,0.12554093241133168,1,0.13988075474136297,4.862629246676514,18577,0.9714479945615228,1986,2895,5604,3828,163,286,93
0.1,16222,2951,13271,2569,382,0.870552355133853,0.18191345086919,0.1583651830846998,1,0.15563359590194747,4.358936484490399,12851,0.9683520458141813,1544,2127,3701,3108,130,213,75
0.125,12743,2718,10025,2386,332,0.8778513612950699,0.21329357294200738,0.18724005336263047,1,0.1629326020631644,4.014771048744461,9679,0.9654862842892769,1260,1629,2574,2680,110,174,61
0.15,10844,2544,8300,2251,293,0.8848270440251572,0.23459977867945409,0.20758022869789747,1,0.1699082847932517,3.757754800590842,8009,0.9649397590361446,1087,1356,2085,2391,98,145,47
0.175,9113,2361,6752,2106,255,0.8919949174078781,0.25908043454405794,0.23109843081312412,1,0.17707615817597255,3.487444608567208,6507,0.9637144549763034,921,1094,1594,2113,83,121,41
0.2,8046,2234,5812,2000,234,0.8952551477170994,0.2776534924185931,0.24857071836937608,1,0.18033638848519384,3.2998522895125553,5598,0.9631796283551273,803,917,1338,1909,74,104,36
0.22499999999999998,7112,2116,4996,1901,215,0.8983931947069943,0.297525309336333,0.2672947131608549,1,0.1834744354750888,3.1255539143279174,4805,0.9617694155324259,704,794,1109,1742,65,93,33
0.25,6529,2030,4499,1829,201,0.9009852216748768,0.3109205085005361,0.28013478327462094,1,0.18606646244297131,2.998522895125554,4321,0.9604356523671927,636,713,970,1625,60,88,30
0.27499999999999997,5844,1926,3918,1745,181,0.9060228452751817,0.3295687885010267,0.2985968514715948,1,0.19110408604327622,2.844903988183161,3765,0.9609494640122511,563,610,822,1469,53,72,28
0.3,5384,1834,3550,1667,167,0.9089422028353326,0.34063893016344726,0.3096210995542348,1,0.19402344360342705,2.709010339734121,3408,0.96,502,541,736,1367,47,68,27
0.32499999999999996,4856,1726,3130,1571,155,0.910196987253766,0.35543657331136735,0.3235172981878089,1,0.19527822802186046,2.5494830132939437,2999,0.9581469648562301,450,473,628,1233,42,64,25
0.35,4349,1604,2745,1467,137,0.9145885286783042,0.36882041848700853,0.33731892389054957,1,0.1996697694463987,2.3692762186115215,2622,0.9551912568306011,397,409,515,1110,39,59,25
0.37499999999999994,3934,1516,2418,1391,125,0.9175461741424802,0.3853584138281647,0.3535841382816472,1,0.20262741491057468,2.2392909896602657,2310,0.9553349875930521,353,347,419,1009,34,54,20
0.39999999999999997,3716,1470,2246,1351,119,0.919047619047619,0.39558665231431644,0.36356297093649087,1,0.2041288598157135,2.171344165435746,2143,0.9541406945681211,329,321,374,945,34,51,18
0.42499999999999993,3374,1365,2009,1257,108,0.9208791208791208,0.4045643153526971,0.37255483106105514,1,0.20596036164721532,2.016248153618907,1916,0.95370831259333,297,280,317,876,31,45,17
0.44999999999999996,2954,1280,1674,1183,97,0.92421875,0.4333107650643196,0.4004739336492891,1,0.20929999076809447,1.8906942392909896,1591,0.9504181600955794,259,235,250,785,28,39,16
0.475,2653,1184,1469,1100,84,0.9290540540540541,0.4462872220128157,0.4146249528835281,1,0.21413529482214855,1.7488921713441654,1399,0.9523485364193329,235,210,180,719,20,35,15
0.49999999999999994,2528,1153,1375,1073,80,0.9306157849089333,0.4560917721518987,0.42444620253164556,1,0.21569702567702775,1.7031019202363369,1314,0.9556363636363636,221,197,162,680,15,32,14
0.525,2189,1036,1153,973,63,0.9391891891891891,0.4732754682503426,0.44449520328917314,1,0.22427042995728363,1.5302806499261448,1101,0.9549002601908065,172,161,127,591,13,29,10
0.5499999999999999,2003,967,1036,907,60,0.937952430196484,0.48277583624563153,0.4528207688467299,1,0.2230336709645785,1.4283604135893648,991,0.9565637065637066,159,141,105,536,11,27,7
0.575,1771,898,873,843,55,0.9387527839643652,0.5070581592320723,0.47600225861095424,1,0.22383402473245972,1.326440177252585,832,0.9530355097365406,136,110,78,486,10,24,7
0.6,1669,859,810,806,53,0.9383003492433062,0.5146794487717196,0.4829239065308568,1,0.22338159001140068,1.2688330871491875,769,0.9493827160493827,122,100,72,454,10,24,7
0.625,1513,807,706,756,51,0.9368029739776952,0.5333773959021811,0.4996695307336418,1,0.22188421474578968,1.1920236336779912,670,0.9490084985835694,107,81,49,412,6,23,7
0.65,1420,767,653,718,49,0.9361147327249022,0.5401408450704225,0.5056338028169014,1,0.2211959734929967,1.1329394387001477,620,0.9494640122511485,95,78,46,384,6,20,7
0.675,1269,711,558,665,46,0.9353023909985936,0.5602836879432624,0.5240346729708432,1,0.22038363176668807,1.0502215657311669,531,0.9516129032258065,76,59,35,348,4,16,7
0.7,1170,671,499,627,44,0.9344262295081968,0.5735042735042735,0.5358974358974359,1,0.21950747027629125,0.9911373707533235,473,0.9478957915831663,70,49,30,315,4,16,6
0.725,1086,624,462,581,43,0.9310897435897436,0.574585635359116,0.5349907918968693,1,0.2161709843578381,0.9217134416543574,437,0.9458874458874459,64,42,27,296,4,15,6
0.75,1024,594,430,557,37,0.9377104377104377,0.580078125,0.5439453125,1,0.2227916784785322,0.8774002954209749,409,0.9511627906976744,62,39,22,278,3,14,4
0.775,784,477,307,456,21,0.9559748427672956,0.6084183673469388,0.5816326530612245,1,0.2410560835353901,0.7045790251107829,291,0.9478827361563518,43,30,9,203,3,9,4
