threshold,year,actionable,scored,tp,fp,precision,scored_rate,tp_per_actionable
0.05,2022,1454,203,147,56,0.7241379310344828,0.13961485557083905,0.10110041265474554
0.05,2023,6722,825,690,135,0.8363636363636363,0.12273132996132104,0.10264802142219577
0.05,2024,13247,1505,1284,221,0.8531561461794019,0.11361062882161999,0.09692760625047181
0.05,2025,15677,1863,1591,272,0.8539989264626946,0.11883651208777189,0.10148625374752823
0.075,2022,872,160,123,37,0.76875,0.1834862385321101,0.14105504587155962
0.075,2023,4773,744,641,103,0.8615591397849462,0.15587680703959775,0.13429708778545987
0.075,2024,9691,1398,1212,186,0.8669527896995708,0.14425755855948819,0.1250644928283975
0.075,2025,11496,1732,1495,237,0.8631639722863741,0.15066109951287404,0.13004523312456506
0.1,2022,665,134,104,30,0.7761194029850746,0.20150375939849624,0.15639097744360902
0.1,2023,3901,683,597,86,0.8740849194729137,0.1750833119712894,0.15303768264547551
0.1,2024,8210,1329,1163,166,0.8750940556809631,0.16187576126674788,0.14165651644336175
0.1,2025,9548,1632,1418,214,0.8688725490196079,0.1709258483452032,0.1485127775450356
0.125,2022,443,109,85,24,0.7798165137614679,0.24604966139954854,0.19187358916478556
0.125,2023,2687,605,538,67,0.8892561983471075,0.2251581689616673,0.20022329735764793
0.125,2024,5760,1207,1065,142,0.8823529411764706,0.20954861111111112,0.18489583333333334
0.125,2025,7125,1481,1308,173,0.8831870357866306,0.20785964912280702,0.18357894736842106
0.15,2022,329,92,73,19,0.7934782608695652,0.2796352583586626,0.22188449848024316
0.15,2023,2221,553,491,62,0.8878842676311031,0.24898694281855022,0.22107158937415577
0.15,2024,4989,1141,1013,128,0.887817703768624,0.2287031469232311,0.20304670274604128
0.15,2025,5863,1348,1202,146,0.8916913946587537,0.22991642503837625,0.20501449769742452
0.175,2022,283,82,66,16,0.8048780487804879,0.28975265017667845,0.2332155477031802
0.175,2023,1930,522,468,54,0.896551724137931,0.2704663212435233,0.24248704663212436
0.175,2024,4345,1079,965,114,0.8943466172381835,0.24833141542002302,0.22209436133486765
0.175,2025,5154,1271,1134,137,0.8922108575924469,0.246604578967792,0.220023282887078
0.2,2022,211,70,59,11,0.8428571428571429,0.33175355450236965,0.2796208530805687
0.2,2023,1615,473,427,46,0.9027484143763214,0.29287925696594425,0.2643962848297214
0.2,2024,3620,1007,901,106,0.8947368421052632,0.2781767955801105,0.2488950276243094
0.2,2025,4282,1176,1056,120,0.8979591836734694,0.2746380196170014,0.24661373190098085
0.22499999999999998,2022,174,61,51,10,0.8360655737704918,0.3505747126436782,0.29310344827586204
0.22499999999999998,2023,1393,434,391,43,0.9009216589861752,0.31155778894472363,0.28068916008614503
0.22499999999999998,2024,3229,950,857,93,0.9021052631578947,0.29420873335397957,0.2654072468256426
0.22499999999999998,2025,3749,1104,998,106,0.9039855072463768,0.294478527607362,0.2662043211523073
0.25,2022,159,58,48,10,0.8275862068965517,0.36477987421383645,0.3018867924528302
0.25,2023,1202,416,377,39,0.90625,0.34608985024958405,0.3136439267886855
0.25,2024,2833,900,814,86,0.9044444444444445,0.3176844334627603,0.2873279209318743
0.25,2025,3342,1046,952,94,0.9101338432122371,0.3129862357869539,0.2848593656493118
0.27499999999999997,2022,131,50,41,9,0.82,0.3816793893129771,0.31297709923664124
0.27499999999999997,2023,992,365,336,29,0.9205479452054794,0.36794354838709675,0.3387096774193548
0.27499999999999997,2024,2468,832,759,73,0.9122596153846154,0.3371150729335494,0.30753646677471635
0.27499999999999997,2025,2907,975,891,84,0.9138461538461539,0.33539731682146545,0.3065015479876161
0.3,2022,119,47,38,9,0.8085106382978723,0.3949579831932773,0.31932773109243695
0.3,2023,907,345,318,27,0.9217391304347826,0.38037486218302097,0.350606394707828
0.3,2024,2227,785,721,64,0.9184713375796179,0.3524921418949259,0.323753929052537
0.3,2025,2734,935,856,79,0.9155080213903743,0.34198975859546454,0.3130943672275055
0.32499999999999996,2022,101,44,35,9,0.7954545454545454,0.43564356435643564,0.3465346534653465
0.32499999999999996,2023,810,323,300,23,0.9287925696594427,0.3987654320987654,0.37037037037037035
0.32499999999999996,2024,2024,741,685,56,0.9244264507422402,0.36610671936758893,0.3384387351778656
0.32499999999999996,2025,2479,888,816,72,0.918918918918919,0.3582089552238806,0.3291649858814038
0.35,2022,77,40,33,7,0.825,0.5194805194805194,0.42857142857142855
0.35,2023,745,304,283,21,0.930921052631579,0.4080536912751678,0.37986577181208053
0.35,2024,1900,712,659,53,0.925561797752809,0.37473684210526315,0.3468421052631579
0.35,2025,2095,803,744,59,0.9265255292652553,0.38329355608591886,0.3551312649164678
0.37499999999999994,2022,71,37,32,5,0.8648648648648649,0.5211267605633803,0.4507042253521127
0.37499999999999994,2023,661,285,270,15,0.9473684210526315,0.43116490166414523,0.4084720121028744
0.37499999999999994,2024,1710,682,631,51,0.9252199413489736,0.39883040935672515,0.3690058479532164
0.37499999999999994,2025,1956,785,726,59,0.9248407643312102,0.4013292433537832,0.37116564417177916
