scope,score_type,bin_index,bin_lower,bin_upper,count,weight,mean_pred,observed_rate,abs_gap
overall,raw,0,0.0,0.1,18995,0.1530176580524586,0.04863423199910606,0.003369307712555936,0.04526492428655013
overall,raw,1,0.1,0.2,14145,0.11394760585164658,0.14874753165251378,0.010250972074938141,0.13849655957757565
overall,raw,2,0.2,0.30000000000000004,13313,0.10724527937101244,0.25019867062201534,0.012919702546383234,0.23727896807563212
overall,raw,3,0.30000000000000004,0.4,13993,0.11272314235999227,0.350259780410973,0.017508754377188594,0.3327510260337844
overall,raw,4,0.4,0.5,14726,0.11862795643487788,0.4502557241591231,0.025668884965367376,0.4245868391937557
overall,raw,5,0.5,0.6000000000000001,14540,0.11712959979377457,0.5497242999371997,0.03961485557083907,0.5101094443663606
overall,raw,6,0.6000000000000001,0.7000000000000001,14106,0.11363343429786686,0.649059331059608,0.07415284276194527,0.5749064882976628
overall,raw,7,0.7000000000000001,0.8,11668,0.09399368434620094,0.747405912217556,0.16223860130270826,0.5851673109148477
overall,raw,8,0.8,0.9,7344,0.059160920280982146,0.8441927949360253,0.3839869281045752,0.4602058668314501
overall,raw,9,0.9,1.0,1306,0.01052071921118773,0.9215887660819575,0.7327718223583461,0.18881694372361135
overall,calibrated,0,0.0,0.1,100131,0.8066233808081459,0.026847534691507493,0.023009857087215747,0.0038376776042917463
overall,calibrated,1,0.1,0.2,11614,0.09355867757942901,0.1398402464435032,0.12329946616152919,0.01654078028197402
overall,calibrated,2,0.2,0.30000000000000004,4740,0.03818392730553587,0.24534993944537992,0.21983122362869198,0.025518715816687937
overall,calibrated,3,0.30000000000000004,0.4,2657,0.021403944061352067,0.3484762758940585,0.323673315769665,0.02480296012439348
overall,calibrated,4,0.4,0.5,1795,0.014459947154733518,0.4410988665977807,0.3910863509749304,0.050012515622850306
overall,calibrated,5,0.5,0.6000000000000001,1347,0.010851002126699748,0.5368961180768671,0.5018559762435041,0.035040141833363014
overall,calibrated,6,0.6000000000000001,0.7000000000000001,784,0.006315653799059097,0.6482259541758061,0.6084183673469388,0.039807586828867314
overall,calibrated,7,0.7000000000000001,0.8,448,0.0036089450280337694,0.7475346705597671,0.6919642857142857,0.05557038484548138
overall,calibrated,8,0.8,0.9,301,0.002424759940710189,0.8389236666455384,0.7475083056478405,0.09141536099769787
overall,calibrated,9,0.9,1.0,319,0.0025697621963008312,0.975921887957569,0.8401253918495298,0.13579649610803912
