fold,rows,positive_rows,prevalence,mean_constrained_threshold,min_constrained_threshold,max_constrained_threshold,constrained_positive_rate,constrained_precision,constrained_recall,constrained_f1,fallback_rows,calibrated_score_q90
1,1086,28,0.02578268876611418,0.91,0.91,0.91,0.0009208103130755065,0.0,0.0,,0,0.1853088480801335
2,856,18,0.02102803738317757,0.78,0.78,0.78,0.0,,0.0,,0,0.0318572793883402
3,1267,46,0.036306235201262825,0.75,0.75,0.75,0.0007892659826361484,1.0,0.021739130434782608,0.042553191489361694,0,0.045658012533572
4,812,29,0.03571428571428571,0.75,0.75,0.75,0.0,,0.0,,0,0.0193628981886321
5,1007,45,0.044687189672293945,0.8000000000000002,0.8,0.8,0.007944389275074478,0.75,0.13333333333333333,0.22641509433962267,0,0.125
6,719,26,0.03616133518776078,0.7999999999999997,0.8,0.8,0.0013908205841446453,0.0,0.0,,0,0.0549805950840879
7,749,15,0.020026702269692925,0.75,0.75,0.75,0.0,,0.0,,0,0.0516795865633074
8,1092,19,0.0173992673992674,0.7899999999999999,0.79,0.79,0.0,,0.0,,0,0.0139802631578947
9,1268,49,0.038643533123028394,0.7800000000000001,0.78,0.78,0.0,,0.0,,0,0.0361613351877607
10,1057,22,0.020813623462630087,0.7999999999999999,0.8,0.8,0.0,,0.0,,0,0.0053780449224928
11,877,18,0.020524515393386546,0.78,0.78,0.78,0.002280501710376283,1.0,0.1111111111111111,0.19999999999999998,0,0.0158892875448487
12,1288,34,0.026397515527950312,0.83,0.8300000000000001,0.8300000000000001,0.0,,0.0,,0,0.039804469273743
13,835,30,0.03592814371257485,0.75,0.75,0.75,0.0,,0.0,,0,0.02086313205652625
14,415,2,0.004819277108433735,0.83,0.8300000000000001,0.8300000000000001,0.0,,0.0,,0,0.0143240823634735
15,1331,16,0.012021036814425245,0.75,0.75,0.75,0.0,,0.0,,0,0.062904717853839
16,930,25,0.026881720430107527,0.75,0.75,0.75,0.0,,0.0,,0,0.0576548500194779
17,1066,18,0.016885553470919325,0.7599999999999999,0.76,0.76,0.0,,0.0,,0,0.0174315190323728
18,682,20,0.02932551319648094,0.8499999999999998,0.85,0.85,0.0,,0.0,,0,0.0136388434260774
19,701,11,0.015691868758915834,0.8499999999999999,0.85,0.85,0.0,,0.0,,0,0.0091388400702987
20,1212,44,0.036303630363036306,0.75,0.75,0.75,0.0,,0.0,,0,0.0060704168352893
21,1030,22,0.021359223300970873,0.75,0.75,0.75,0.0,,0.0,,0,0.0655913978494623
22,841,34,0.04042806183115339,0.75,0.75,0.75,0.0011890606420927466,0.0,0.0,,0,0.047767393561786
23,1297,95,0.07324595219737856,0.7599999999999999,0.76,0.76,0.0038550501156515036,1.0,0.05263157894736842,0.1,0,0.205607476635514
24,1206,27,0.022388059701492536,0.8100000000000004,0.81,0.81,0.0008291873963515755,1.0,0.037037037037037035,0.07142857142857142,0,0.083955223880597
