protocol,year,score_type,pr_auc_ap,pr_auc_trapz,prevalence,n_rows,n_positive
ml_pretrain,overall,raw_proba,0.4021357211441994,0.4020864369582836,0.07498907926030189,103015,7725
ml_pretrain,overall,calibrated_proba,0.39433867527466165,0.3964294440890503,0.07498907926030189,103015,7725
ml_pretrain,2023,raw_proba,0.22492426765679385,0.22479042606867838,0.05349918079379409,29907,1600
ml_pretrain,2023,calibrated_proba,0.20586951159947758,0.2074416443844032,0.05349918079379409,29907,1600
ml_pretrain,2024,raw_proba,0.4195656758918139,0.41944520351129433,0.07861247329943741,33239,2613
ml_pretrain,2024,calibrated_proba,0.40026775393455566,0.4021410536988908,0.07861247329943741,33239,2613
ml_pretrain,2025,raw_proba,0.47844308866458224,0.478343580197542,0.08808848980410845,39869,3512
ml_pretrain,2025,calibrated_proba,0.46537138130117506,0.4690928197473327,0.08808848980410845,39869,3512
ml_racewise,overall,raw_proba,0.3810900350369073,0.38104231763903534,0.06701102096175555,123129,8251
ml_racewise,overall,calibrated_proba,0.3716957128291894,0.374134205955388,0.06701102096175555,123129,8251
ml_racewise,2022,raw_proba,0.058369587197235215,0.057801382953233206,0.026150939644029033,20114,526
ml_racewise,2022,calibrated_proba,0.060514277788036426,0.06395975975793501,0.026150939644029033,20114,526
ml_racewise,2023,raw_proba,0.22492426765679385,0.22479042606867838,0.05349918079379409,29907,1600
ml_racewise,2023,calibrated_proba,0.20586951159947758,0.2074416443844032,0.05349918079379409,29907,1600
ml_racewise,2024,raw_proba,0.4195656758918139,0.41944520351129433,0.07861247329943741,33239,2613
ml_racewise,2024,calibrated_proba,0.40026775393455566,0.4021410536988908,0.07861247329943741,33239,2613
ml_racewise,2025,raw_proba,0.47844308866458224,0.478343580197542,0.08808848980410845,39869,3512
ml_racewise,2025,calibrated_proba,0.46537138130117506,0.4690928197473327,0.08808848980410845,39869,3512
