threshold,actionable,scored,excluded,tp,fp,precision,scored_rate,tp_per_actionable,meets_precision_floor,precision_delta_vs_floor,scored_vs_sde_ratio,no_match_count,no_match_rate,no_match_one_lap_beyond,no_match_two_to_three_laps_beyond,no_match_four_plus_laps_beyond,no_match_pit_in_window_but_consumed,excluded_incident,excluded_missing_post_gap,excluded_weather
0.05,33386,3734,29652,3151,583,0.8438671665773969,0.11184328760558318,0.09438087821242437,1,0.1289484073454914,5.515509601181684,28896,0.9745042492917847,2665,4166,9310,5043,196,394,158
0.075,21158,3199,17959,2755,444,0.8612066270709596,0.15119576519519803,0.1302107949711693,1,0.14628786783905412,4.725258493353028,17450,0.9716576646806615,1900,2768,5209,3733,148,267,90
0.1,15264,2869,12395,2518,351,0.8776577204600906,0.18795859538784068,0.16496331236897274,1,0.1627389612281851,4.23781388478582,12003,0.9683743444937475,1471,2020,3403,3045,119,199,72
0.125,12389,2674,9715,2359,315,0.8821989528795812,0.21583662926789896,0.1904108483331988,1,0.16728019364767566,3.949778434268833,9381,0.9656201749871333,1232,1592,2489,2658,108,164,61
0.15,10589,2511,8078,2232,279,0.8888888888888888,0.2371328737368968,0.21078477665501935,1,0.17397012965698333,3.709010339734121,7797,0.9652141619212676,1068,1327,2010,2377,96,137,47
0.175,8988,2340,6648,2096,244,0.8957264957264958,0.260347129506008,0.23319982198486872,1,0.18080773649459025,3.4564254062038406,6409,0.964049338146811,911,1084,1557,2106,82,116,41
0.2,7942,2217,5725,1992,225,0.8985115020297699,0.27914882901032484,0.2508184336439184,1,0.18359274279786442,3.274741506646972,5517,0.9636681222707424,795,909,1309,1902,73,99,36
0.22499999999999998,7043,2101,4942,1894,207,0.9014754878629224,0.2983103790998154,0.26891949453357944,1,0.1865567286310169,3.103397341211226,4756,0.962363415621206,698,787,1089,1736,64,89,33
0.25,6460,2015,4445,1822,193,0.9042183622828784,0.31191950464396284,0.2820433436532508,1,0.18929960305097293,2.9763663220088628,4272,0.9610798650168729,630,706,950,1619,59,84,30
0.27499999999999997,5779,1913,3866,1739,174,0.9090433873497125,0.33102612908807755,0.3009171136874892,1,0.19412462811780695,2.8257016248153617,3718,0.9617175375064666,557,603,804,1463,52,68,28
0.3,5319,1821,3498,1661,160,0.9121361889071938,0.34235758601240834,0.31227674374882497,1,0.19721742967528832,2.689807976366322,3361,0.9608347627215552,496,534,718,1361,46,64,27
0.32499999999999996,4791,1713,3078,1565,148,0.9136018680677175,0.3575453976205385,0.3266541431851388,1,0.19868310883581197,2.5302806499261448,2952,0.9590643274853801,444,466,610,1227,41,60,25
0.35,4285,1592,2693,1461,131,0.917713567839196,0.3715285880980163,0.34095682613768963,1,0.2027948086072905,2.3515509601181686,2575,0.9561826958782027,391,402,497,1104,38,55,25
0.37499999999999994,3889,1505,2384,1385,120,0.920265780730897,0.3869889431730522,0.3561326819233736,1,0.20534702149899153,2.2230428360413588,2280,0.9563758389261745,349,344,412,1003,34,50,20
0.39999999999999997,3671,1459,2212,1345,114,0.9218642906100069,0.3974393898120403,0.36638518114955054,1,0.20694553137810134,2.155096011816839,2113,0.955244122965642,325,318,367,939,34,47,18
0.42499999999999993,3338,1357,1981,1252,105,0.922623434045689,0.40653085680047935,0.3750748951467945,1,0.20770467481378352,2.0044313146233383,1892,0.9550731953558809,295,277,310,871,31,41,17
0.44999999999999996,2918,1272,1646,1178,94,0.9261006289308176,0.43591501028101437,0.40370116518163124,1,0.21118186969891206,1.878877400295421,1567,0.9520048602673147,257,232,243,780,28,35,16
0.475,2617,1176,1441,1095,81,0.9311224489795918,0.4493695070691632,0.41841803591899124,1,0.21620368974768633,1.7370753323485968,1375,0.9541984732824428,233,207,173,714,20,31,15
0.49999999999999994,2492,1145,1347,1068,77,0.9327510917030568,0.45947030497592295,0.42857142857142855,1,0.2178323324711513,1.691285081240768,1290,0.9576837416481069,219,194,155,675,15,28,14
0.525,2154,1028,1126,968,60,0.9416342412451362,0.47725162488393685,0.44939647168059427,1,0.22671548201323066,1.5184638109305761,1078,0.9573712255772646,170,159,120,586,13,25,10
